dataset,dist,method,sigma,tau,seed,min_heap
MUTAG,normal,pivot,0.10,0.5,42,16m
MUTAG,normal,embed-min,0.10,0.5,42,128m
MUTAG,normal,pivot,0.10,0.5,1337,16m
MUTAG,normal,embed-min,0.10,0.5,1337,64m
MUTAG,normal,pivot,0.10,0.5,2024,16m
MUTAG,normal,embed-min,0.10,0.5,2024,128m
MUTAG,normal,pivot,0.10,0.5,31415,16m
MUTAG,normal,embed-min,0.10,0.5,31415,128m
MUTAG,normal,pivot,0.10,0.5,271828,16m
MUTAG,normal,embed-min,0.10,0.5,271828,128m
MUTAG,normal,pivot,0.05,0.3,42,32m
MUTAG,normal,embed-min,0.05,0.3,42,1g
MUTAG,normal,pivot,0.05,0.3,1337,16m
MUTAG,normal,embed-min,0.05,0.3,1337,1g
MUTAG,normal,pivot,0.05,0.3,2024,16m
MUTAG,normal,embed-min,0.05,0.3,2024,1g
MUTAG,normal,pivot,0.05,0.3,31415,32m
MUTAG,normal,embed-min,0.05,0.3,31415,1g
MUTAG,normal,pivot,0.05,0.3,271828,32m
MUTAG,normal,embed-min,0.05,0.3,271828,1g
PTC_MR,normal,pivot,0.10,0.3,42,16m
PTC_MR,normal,embed-min,0.10,0.3,42,128m
PTC_MR,normal,pivot,0.10,0.3,1337,16m
PTC_MR,normal,embed-min,0.10,0.3,1337,128m
PTC_MR,normal,pivot,0.10,0.3,2024,16m
PTC_MR,normal,embed-min,0.10,0.3,2024,128m
PTC_MR,normal,pivot,0.10,0.3,31415,16m
PTC_MR,normal,embed-min,0.10,0.3,31415,128m
PTC_MR,normal,pivot,0.10,0.3,271828,16m
PTC_MR,normal,embed-min,0.10,0.3,271828,128m
NCI1,normal,pivot,0.10,0.5,42,64m
NCI1,normal,embed-min,0.10,0.5,42,2g
NCI1,normal,pivot,0.10,0.5,1337,64m
NCI1,normal,embed-min,0.10,0.5,1337,2g
NCI1,normal,pivot,0.10,0.5,2024,64m
NCI1,normal,embed-min,0.10,0.5,2024,2g
NCI1,normal,pivot,0.10,0.5,31415,64m
NCI1,normal,embed-min,0.10,0.5,31415,2g
NCI1,normal,pivot,0.10,0.5,271828,64m
NCI1,normal,embed-min,0.10,0.5,271828,2g
NCI109,normal,pivot,0.10,0.5,42,64m
NCI109,normal,embed-min,0.10,0.5,42,2g
NCI109,normal,pivot,0.10,0.5,1337,64m
NCI109,normal,embed-min,0.10,0.5,1337,2g
NCI109,normal,pivot,0.10,0.5,2024,64m
NCI109,normal,embed-min,0.10,0.5,2024,2g
NCI109,normal,pivot,0.10,0.5,31415,64m
NCI109,normal,embed-min,0.10,0.5,31415,2g
NCI109,normal,pivot,0.10,0.5,271828,64m
NCI109,normal,embed-min,0.10,0.5,271828,2g
MUTAG,nexp,pivot,0.10,0.3,42,16m
MUTAG,nexp,embed-min,0.10,0.3,42,32m
MUTAG,nexp,pivot,0.10,0.3,1337,16m
MUTAG,nexp,embed-min,0.10,0.3,1337,32m
MUTAG,nexp,pivot,0.10,0.3,2024,16m
MUTAG,nexp,embed-min,0.10,0.3,2024,32m
MUTAG,nexp,pivot,0.10,0.3,31415,16m
MUTAG,nexp,embed-min,0.10,0.3,31415,32m
MUTAG,nexp,pivot,0.10,0.3,271828,16m
MUTAG,nexp,embed-min,0.10,0.3,271828,32m
NCI1,nexp,pivot,0.10,0.3,42,64m
NCI1,nexp,embed-min,0.10,0.3,42,512m
NCI1,nexp,pivot,0.10,0.3,1337,64m
NCI1,nexp,embed-min,0.10,0.3,1337,512m
NCI1,nexp,pivot,0.10,0.3,2024,64m
NCI1,nexp,embed-min,0.10,0.3,2024,512m
NCI1,nexp,pivot,0.10,0.3,31415,64m
NCI1,nexp,embed-min,0.10,0.3,31415,512m
NCI1,nexp,pivot,0.10,0.3,271828,64m
NCI1,nexp,embed-min,0.10,0.3,271828,512m
