dataset,sigma,tau,algo,seed,mean_ms,patterns
MUTAG,0.10,0.5,pivot,42,31,29
MUTAG,0.10,0.5,pivot,1337,27,29
MUTAG,0.10,0.5,pivot,2024,32,33
MUTAG,0.10,0.5,pivot,31415,30,31
MUTAG,0.10,0.5,pivot,271828,33,33
MUTAG,0.10,0.5,embed-min,42,306,29
MUTAG,0.10,0.5,embed-min,1337,240,29
MUTAG,0.10,0.5,embed-min,2024,325,33
MUTAG,0.10,0.5,embed-min,31415,315,31
MUTAG,0.10,0.5,embed-min,271828,323,33
PTC_MR,0.10,0.3,pivot,42,184,119
PTC_MR,0.10,0.3,pivot,1337,176,116
PTC_MR,0.10,0.3,pivot,2024,186,124
PTC_MR,0.10,0.3,pivot,31415,169,119
PTC_MR,0.10,0.3,pivot,271828,217,131
PTC_MR,0.10,0.3,embed-min,42,466,119
PTC_MR,0.10,0.3,embed-min,1337,472,116
PTC_MR,0.10,0.3,embed-min,2024,483,124
PTC_MR,0.10,0.3,embed-min,31415,427,119
PTC_MR,0.10,0.3,embed-min,271828,524,131
NCI1,0.10,0.5,pivot,42,771,37
NCI1,0.10,0.5,pivot,1337,753,39
NCI1,0.10,0.5,pivot,2024,762,38
NCI1,0.10,0.5,pivot,31415,765,38
NCI1,0.10,0.5,pivot,271828,758,38
NCI1,0.10,0.5,embed-min,42,6807,37
NCI1,0.10,0.5,embed-min,1337,6701,39
NCI1,0.10,0.5,embed-min,2024,6820,38
NCI1,0.10,0.5,embed-min,31415,6929,38
NCI1,0.10,0.5,embed-min,271828,6911,38
